Data;Open;High;Low;Close;Candle
04/10/2021 16:30;110305;110395;110255;110290;91
04/10/2021 16:25;110345;110375;110225;110305;90
04/10/2021 16:20;110455;110480;110265;110345;89
04/10/2021 16:15;110530;110640;110410;110455;88
04/10/2021 16:10;110415;110545;110335;110525;87
04/10/2021 16:05;110480;110530;110395;110415;86
04/10/2021 16:00;110380;110495;110285;110475;85
04/10/2021 15:55;110350;110415;110330;110380;84
04/10/2021 15:50;110400;110430;110310;110350;83
04/10/2021 15:45;110240;110420;110220;110405;82
04/10/2021 15:40;110295;110305;110210;110240;81
04/10/2021 15:35;110295;110345;110215;110295;80
04/10/2021 15:30;110325;110380;110240;110295;79
04/10/2021 15:25;110375;110380;110260;110320;78
04/10/2021 15:20;110375;110415;110285;110375;77
04/10/2021 15:15;110390;110485;110350;110375;76
04/10/2021 15:10;110510;110550;110320;110390;75
04/10/2021 15:05;110370;110570;110335;110515;74
04/10/2021 15:00;110235;110390;110230;110370;73
04/10/2021 14:55;110330;110335;110200;110235;72
04/10/2021 14:50;110345;110410;110320;110330;71
04/10/2021 14:45;110270;110360;110265;110340;70
04/10/2021 14:40;110360;110385;110245;110270;69
04/10/2021 14:35;110225;110375;110180;110365;68
04/10/2021 14:30;110155;110265;110100;110225;67
04/10/2021 14:25;110305;110320;110115;110155;66
04/10/2021 14:20;110245;110340;110180;110310;65
04/10/2021 14:15;110395;110425;110240;110250;64
04/10/2021 14:10;110375;110435;110320;110395;63
04/10/2021 14:05;110220;110395;110185;110375;62
04/10/2021 14:00;110255;110315;110180;110225;61
04/10/2021 13:55;110290;110320;110140;110250;60
04/10/2021 13:50;110295;110350;110230;110290;59
04/10/2021 13:45;110200;110300;110150;110300;58
04/10/2021 13:40;110275;110285;110125;110200;57
04/10/2021 13:35;110290;110300;110215;110275;56
04/10/2021 13:30;110325;110330;110160;110290;55
04/10/2021 13:25;110220;110360;110180;110330;54
04/10/2021 13:20;110315;110340;110105;110220;53
04/10/2021 13:15;110395;110450;110265;110310;52
04/10/2021 13:10;110345;110425;110260;110395;51
04/10/2021 13:05;110235;110350;110205;110340;50
04/10/2021 13:00;110370;110370;110195;110235;49
04/10/2021 12:55;110315;110415;110275;110370;48
04/10/2021 12:50;110145;110325;110085;110320;47
04/10/2021 12:45;110110;110190;110075;110140;46
04/10/2021 12:40;110125;110180;109900;110110;45
04/10/2021 12:35;110335;110360;110055;110130;44
04/10/2021 12:30;110465;110480;110320;110335;43
04/10/2021 12:25;110445;110535;110350;110465;42
04/10/2021 12:20;110650;110670;110405;110445;41
04/10/2021 12:15;110720;110735;110585;110650;40
04/10/2021 12:10;110745;110820;110685;110715;39
04/10/2021 12:05;110660;110790;110555;110745;38
04/10/2021 12:00;110690;110715;110580;110660;37
04/10/2021 11:55;110580;110765;110515;110690;36
04/10/2021 11:50;110955;110995;110535;110580;35
04/10/2021 11:45;110900;111010;110850;110960;34
04/10/2021 11:40;110800;110930;110785;110900;33
04/10/2021 11:35;110905;110960;110740;110800;32
04/10/2021 11:30;110940;110965;110830;110905;31
04/10/2021 11:25;111030;111035;110865;110940;30
04/10/2021 11:20;111120;111225;111020;111035;29
04/10/2021 11:15;111420;111445;111100;111115;28
04/10/2021 11:10;111490;111590;111375;111420;27
04/10/2021 11:05;111365;111500;111305;111490;26
04/10/2021 11:00;111550;111620;111325;111365;25
04/10/2021 10:55;111540;111590;111455;111550;24
04/10/2021 10:50;111555;111600;111380;111540;23
04/10/2021 10:45;111420;111590;111260;111555;22
04/10/2021 10:40;111430;111465;111335;111425;21
04/10/2021 10:35;111360;111470;111315;111425;20
04/10/2021 10:30;111365;111435;111235;111355;19
04/10/2021 10:25;111685;111690;111280;111370;18
04/10/2021 10:20;111715;111845;111645;111685;17
04/10/2021 10:15;111800;111810;111605;111715;16
04/10/2021 10:10;111730;111825;111655;111800;15
04/10/2021 10:05;111915;111930;111710;111730;14
04/10/2021 10:00;112280;112300;111900;111915;13
04/10/2021 09:55;112380;112420;112270;112280;12
04/10/2021 09:50;112260;112395;112235;112385;11
04/10/2021 09:45;112220;112320;112170;112260;10
04/10/2021 09:40;112060;112230;112045;112220;9
04/10/2021 09:35;112020;112090;112000;112055;8
04/10/2021 09:30;112080;112100;112020;112020;7
04/10/2021 09:25;112060;112115;112010;112080;6
04/10/2021 09:20;112150;112155;112030;112060;5
04/10/2021 09:15;112250;112275;112140;112145;4
04/10/2021 09:10;112230;112295;112120;112250;3
04/10/2021 09:05;112260;112360;112170;112230;2
04/10/2021 09:00;112300;112395;112155;112265;1
01/10/2021 17:50;112910;113120;112870;113120;107
01/10/2021 17:45;112905;112940;112850;112905;106
01/10/2021 17:40;112860;112935;112810;112910;105
01/10/2021 17:35;112810;112940;112795;112855;104
01/10/2021 17:30;112860;112870;112790;112815;103
01/10/2021 17:25;112860;112880;112830;112865;102
01/10/2021 17:20;112855;112910;112825;112860;101
01/10/2021 17:15;112790;112895;112780;112860;100
01/10/2021 17:10;112880;112895;112780;112790;99
01/10/2021 17:05;112850;112940;112805;112880;98
01/10/2021 17:00;112760;112890;112715;112850;97
01/10/2021 16:55;112785;112785;112670;112760;96
01/10/2021 16:50;112780;112840;112735;112780;95
01/10/2021 16:45;112820;112845;112715;112780;94
01/10/2021 16:40;112835;112855;112755;112820;93
01/10/2021 16:35;112890;112905;112805;112835;92
01/10/2021 16:30;112860;112910;112755;112890;91
01/10/2021 16:25;112895;112935;112845;112860;90
01/10/2021 16:20;112850;112925;112810;112895;89
01/10/2021 16:15;112960;112990;112810;112855;88
01/10/2021 16:10;112970;112995;112925;112965;87
01/10/2021 16:05;112860;112990;112825;112965;86
01/10/2021 16:00;112840;112895;112725;112860;85
01/10/2021 15:55;112905;112960;112805;112845;84
01/10/2021 15:50;112845;112955;112780;112900;83
01/10/2021 15:45;112805;112865;112790;112845;82
01/10/2021 15:40;112865;112905;112760;112805;81
01/10/2021 15:35;112880;112920;112820;112860;80
01/10/2021 15:30;113020;113035;112855;112880;79
01/10/2021 15:25;112980;113085;112980;113015;78
01/10/2021 15:20;112955;113040;112935;112980;77
01/10/2021 15:15;113000;113035;112930;112955;76
01/10/2021 15:10;113015;113085;112965;113000;75
01/10/2021 15:05;112975;113150;112960;113020;74
01/10/2021 15:00;112955;113025;112885;112970;73
01/10/2021 14:55;113015;113065;112930;112950;72
01/10/2021 14:50;112975;113065;112905;113010;71
01/10/2021 14:45;112885;113000;112835;112975;70
01/10/2021 14:40;112830;112970;112800;112885;69
01/10/2021 14:35;112785;112835;112690;112825;68
