Data	Open	High	Low	Close	Candle
07/03/2022 13:05	33044,18	33075,46	33033,27	33033,84	44
07/03/2022 13:00	32981,36	33079,69	32977,02	33045,54	43
07/03/2022 12:55	32973,29	32982,44	32946,85	32980,76	42
07/03/2022 12:50	33001,76	33053,31	32965,61	32970,53	41
07/03/2022 12:45	32946,74	33016,47	32942,85	33002,13	40
07/03/2022 12:40	32946,05	32984,52	32946,05	32947,65	39
07/03/2022 12:35	32956,02	32975,62	32918,37	32945,59	38
07/03/2022 12:30	32971,97	32971,97	32931,44	32954,8	37
07/03/2022 12:25	32922,16	32976,58	32907,91	32972,79	36
07/03/2022 12:20	32993,26	33007,43	32905,33	32921,09	35
07/03/2022 12:15	33021	33052,58	32977,5	32991,63	34
07/03/2022 12:10	33016,89	33032,86	33007,74	33021,14	33
07/03/2022 12:05	33008,4	33032,68	32993,84	33016,71	32
07/03/2022 12:00	33023,46	33028,1	32972,71	33009,56	31
07/03/2022 11:55	33059,17	33059,2	33016,85	33023,35	30
07/03/2022 11:50	33098,48	33098,48	33057,72	33058,63	29
07/03/2022 11:45	33075,2	33148,26	33071,65	33099,19	28
07/03/2022 11:40	33074,37	33083,93	33045	33075,71	27
07/03/2022 11:35	33130,29	33133,69	33073,64	33074,81	26
07/03/2022 11:30	33203,04	33209,16	33118,84	33127,02	25
07/03/2022 11:25	33190,92	33209,99	33186,22	33202,84	24
07/03/2022 11:20	33215,18	33238,53	33192,07	33192,07	23
07/03/2022 11:15	33200,62	33252,88	33196,76	33214,77	22
07/03/2022 11:10	33224,74	33243,56	33191,51	33201,3	21
07/03/2022 11:05	33159,95	33237,67	33155,59	33225,37	20
07/03/2022 11:00	33169,73	33171,47	33138,08	33160,06	19
07/03/2022 10:55	33144,88	33188,02	33125,6	33170,2	18
07/03/2022 10:50	33200,28	33219,64	33139,82	33144,61	17
07/03/2022 10:45	33236,79	33244,33	33184,77	33201,09	16
07/03/2022 10:40	33214,09	33237,72	33179,26	33237,72	15
07/03/2022 10:35	33200,1	33231,27	33192,92	33213,86	14
07/03/2022 10:30	33183,12	33227,08	33161,87	33200,06	13
07/03/2022 10:25	33194,98	33208,85	33174,29	33183,52	12
07/03/2022 10:20	33216,09	33279,34	33195,38	33198,49	11
07/03/2022 10:15	33209,67	33257,29	33208,04	33214,65	10
07/03/2022 10:10	33286,25	33295,81	33205,26	33205,26	9
07/03/2022 10:05	33276,02	33320,32	33248,42	33287,59	8
07/03/2022 10:00	33247,76	33282,09	33222,81	33278,11	7
07/03/2022 09:55	33334,9	33384,71	33258,44	33259,92	6
07/03/2022 09:50	33265,76	33335,2	33255,12	33334,68	5
07/03/2022 09:45	33290,36	33338,02	33252,2	33264,14	4
07/03/2022 09:40	33345,44	33389,24	33268,52	33293,69	3
07/03/2022 09:35	33387,52	33392,47	33310,56	33342,99	2
07/03/2022 09:30	33579,75	33579,75	33382,79	33389,35	1
04/03/2022 16:00	33610,18	33614,99	33609,16	33614,8	79
04/03/2022 15:55	33587,05	33636,98	33570,38	33615,65	78
04/03/2022 15:50	33452,27	33586,31	33441,8	33585,83	77
04/03/2022 15:45	33462,85	33520,76	33430,2	33446,74	76
04/03/2022 15:40	33434,26	33481,27	33425,32	33462,85	75
04/03/2022 15:35	33467,48	33486,46	33404,99	33434,39	74
04/03/2022 15:30	33470,04	33491,86	33437,17	33470,2	73
04/03/2022 15:25	33436,22	33513,82	33432,06	33469,55	72
04/03/2022 15:20	33413,38	33448,6	33398,77	33436,97	71
04/03/2022 15:15	33403,1	33457,62	33402,71	33414,24	70
04/03/2022 15:10	33438,7	33465,62	33402,05	33404,28	69
04/03/2022 15:05	33430,98	33477,28	33423,23	33438,83	68
04/03/2022 15:00	33365,89	33446,38	33364,45	33429,41	67
04/03/2022 14:55	33424,44	33445,42	33364,61	33365,96	66
04/03/2022 14:50	33406,4	33451,83	33403	33423,72	65
04/03/2022 14:45	33416,88	33421,35	33398,9	33406,13	64
04/03/2022 14:40	33477,21	33477,57	33410,47	33415,43	63
04/03/2022 14:35	33494,7	33504,6	33456,27	33475,8	62
04/03/2022 14:30	33495,73	33520,82	33474,91	33494,74	61
04/03/2022 14:25	33507,43	33540,92	33473,22	33496,16	60
04/03/2022 14:20	33418,85	33513,81	33413,65	33508,78	59
04/03/2022 14:15	33398,16	33426,17	33376,93	33417,47	58
04/03/2022 14:10	33431,37	33432,86	33387,97	33398,33	57
04/03/2022 14:05	33421,56	33443,39	33409,5	33431,46	56
04/03/2022 14:00	33446,8	33467,72	33386,98	33421,2	55
04/03/2022 13:55	33516,82	33523,22	33441,59	33446,8	54
04/03/2022 13:50	33493,02	33522,07	33491,83	33517,25	53
04/03/2022 13:45	33501,01	33501,01	33472,73	33493,17	52
04/03/2022 13:40	33598,76	33598,76	33498,62	33503,69	51
04/03/2022 13:35	33565,61	33600,39	33555,08	33599	50
04/03/2022 13:30	33548,36	33575,68	33548,36	33563,96	49
04/03/2022 13:25	33547,75	33568,71	33546,61	33548,59	48
04/03/2022 13:20	33563,11	33597,33	33544,89	33544,89	47
04/03/2022 13:15	33607,59	33627,08	33547,69	33563,06	46
04/03/2022 13:10	33649,04	33653,37	33607,98	33608,12	45
04/03/2022 13:05	33631,93	33654,9	33620,34	33648,63	44
04/03/2022 13:00	33569,32	33630,71	33569,32	33630,31	43
04/03/2022 12:55	33532,3	33588,37	33531,81	33568,47	42
04/03/2022 12:50	33512,21	33551,56	33496,57	33532,2	41
04/03/2022 12:45	33483,38	33513,47	33475,27	33511,48	40
04/03/2022 12:40	33535,03	33543,44	33474,71	33482,76	39
04/03/2022 12:35	33519,95	33550,83	33519,13	33535,06	38
04/03/2022 12:30	33526,94	33547,28	33509,53	33520,52	37
04/03/2022 12:25	33475,85	33537,14	33460,16	33526,94	36
04/03/2022 12:20	33520,02	33531,64	33468,8	33476,74	35
04/03/2022 12:15	33522,3	33570,58	33519,59	33519,59	34
04/03/2022 12:10	33422,77	33532,02	33422,77	33522,51	33
04/03/2022 12:05	33385,55	33429,78	33356,66	33422,64	32
04/03/2022 12:00	33357,12	33385,8	33331,65	33385,58	31
04/03/2022 11:55	33368,41	33375,96	33346,99	33356,26	30
04/03/2022 11:50	33389,58	33392,99	33357,32	33368,05	29
04/03/2022 11:45	33364,79	33406,9	33362,41	33388,91	28
04/03/2022 11:40	33374,8	33398,6	33348,62	33364,81	27
04/03/2022 11:35	33324,67	33380,08	33273,21	33374,06	26
04/03/2022 11:30	33338,31	33349,24	33290,67	33326,98	25
04/03/2022 11:25	33345,32	33364,02	33322,38	33344,35	24
04/03/2022 11:20	33338,66	33348,51	33294,27	33346,7	23
04/03/2022 11:15	33298,81	33368,35	33289,6	33341,19	22
04/03/2022 11:10	33290,09	33298,9	33254,12	33298,9	21
04/03/2022 11:05	33274,8	33304,18	33259,87	33290,2	20
04/03/2022 11:00	33271,08	33310,67	33266,61	33273,21	19
04/03/2022 10:55	33307,07	33315,06	33263,71	33270,09	18
04/03/2022 10:50	33295,5	33313,8	33280,43	33308,03	17
04/03/2022 10:45	33321,11	33340,49	33283,46	33291,93	16
04/03/2022 10:40	33373,24	33373,24	33314,67	33320,78	15
04/03/2022 10:35	33344,96	33424,91	33343,72	33373,33	14
04/03/2022 10:30	33381,85	33382,8	33332,29	33344,66	13
04/03/2022 10:25	33321,26	33383,99	33318,5	33383,33	12
04/03/2022 10:20	33321,31	33351,67	33307,12	33322,46	11
04/03/2022 10:15	33299,96	33340,28	33285,32	33320,12	10
04/03/2022 10:10	33352,86	33369,16	33279,64	33299,46	9
04/03/2022 10:05	33458,98	33459,19	33347,47	33352,68	8
04/03/2022 10:00	33484,51	33531,89	33458,25	33459,83	7
04/03/2022 09:55	33375,37	33499,09	33349,75	33484,71	6
04/03/2022 09:50	33332,9	33416,39	33318,84	33377,59	5
04/03/2022 09:45	33412,64	33420	33329,23	33331,33	4
04/03/2022 09:40	33423,79	33444,39	33391,53	33409,71	3
04/03/2022 09:35	33389,86	33465,55	33388,64	33424,95	2
04/03/2022 09:30	33655,43	33655,43	33376,37	33391,23	1
03/03/2022 16:00	33796,34	33797,16	33794,49	33794,66	79
03/03/2022 15:55	33759,1	33797,26	33725,08	33797,26	78
03/03/2022 15:50	33741,27	33778,66	33700,96	33758,88	77
03/03/2022 15:45	33715,8	33750,15	33686,24	33742,2	76
03/03/2022 15:40	33792,2	33792,2	33716,92	33716,92	75
03/03/2022 15:35	33775,31	33795,71	33731,87	33792,91	74
03/03/2022 15:30	33873,18	33873,18	33772,48	33776,61	73
03/03/2022 15:25	33812,85	33875,41	33812,85	33872,54	72
03/03/2022 15:20	33830,68	33842,38	33788,58	33812,49	71
03/03/2022 15:15	33787,75	33847,95	33780,54	33832,25	70
03/03/2022 15:10	33756,64	33790,13	33750,57	33788,08	69
03/03/2022 15:05	33760,85	33799,15	33738,99	33756,5	68
03/03/2022 15:00	33841,79	33841,79	33759,85	33760,38	67
03/03/2022 14:55	33840,33	33850,45	33825,9	33842,09	66
03/03/2022 14:50	33862,82	33872,49	33823,68	33839,98	65
03/03/2022 14:45	33922,33	33925,17	33860,67	33862,17	64
03/03/2022 14:40	33970,8	33982	33916,43	33922,27	63
03/03/2022 14:35	34001,77	34004,81	33967,76	33968,98	62
03/03/2022 14:30	34031,59	34031,59	33992,98	33998,9	61
03/03/2022 14:25	34015,05	34043,08	34014,05	34029,26	60
03/03/2022 14:20	34039,65	34039,65	34004,07	34015,14	59
03/03/2022 14:15	34048,91	34059,74	34031,26	34039,31	58
03/03/2022 14:10	33960,48	34057,28	33945,91	34048,57	57
03/03/2022 14:05	33977,48	33990,72	33959,81	33960,96	56
03/03/2022 14:00	33974,42	34003,87	33970,34	33977,36	55
03/03/2022 13:55	33982,68	33995,86	33970,25	33974,6	54
03/03/2022 13:50	33966,93	33993,57	33966,93	33982,58	53
03/03/2022 13:45	33953,01	33970,85	33924,45	33967,66	52
03/03/2022 13:40	33951,95	33958,23	33923,8	33952,92	51
